phi_max,n_tracks,sigma_scatt,sigma_scatt_mrad,epsilon,repeat,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
0.02,100,0.0008,0.8,0.0033941788403088016,1,300,2999700,300,2544,1.0,0.8945147679324894
0.02,100,0.0008,0.8,0.0033941788403088016,2,300,2999700,300,3009,1.0,0.9093381686310064
0.02,100,0.0008,0.8,0.0033941788403088016,3,300,2999700,300,2731,1.0,0.9010227647641043
0.02,100,0.0008,0.8,0.0033941788403088016,4,300,2999700,300,2303,1.0,0.8847483672685363
0.02,100,0.0008,0.8,0.0033941788403088016,5,300,2999700,300,2538,1.0,0.8942917547568711
0.02,100,0.0008,0.8,0.0033941788403088016,6,300,2999700,300,2721,1.0,0.900695134061569
0.02,100,0.0008,0.8,0.0033941788403088016,7,300,2999700,300,2365,1.0,0.8874296435272045
0.02,100,0.0008,0.8,0.0033941788403088016,8,300,2999700,300,2738,1.0,0.9012508229098091
0.02,100,0.0008,0.8,0.0033941788403088016,9,300,2999700,300,2513,1.0,0.8933522929257021
0.02,100,0.001,1.0,0.004242693719796422,0,300,2999700,300,3917,1.0,0.9288593787052407
0.02,100,0.001,1.0,0.004242693719796422,1,300,2999700,300,4478,1.0,0.9372122226873169
0.02,100,0.001,1.0,0.004242693719796422,2,300,2999700,300,4046,1.0,0.9309710078232858
0.02,100,0.001,1.0,0.004242693719796422,3,300,2999700,300,4498,1.0,0.9374739474781159
0.02,100,0.001,1.0,0.004242693719796422,4,300,2999700,300,4216,1.0,0.933569530558016
0.02,100,0.001,1.0,0.004242693719796422,5,300,2999700,299,3877,0.9966666666666667,0.9284003831417624
0.02,100,0.001,1.0,0.004242693719796422,6,300,2999700,300,3860,1.0,0.9278846153846154
0.02,100,0.001,1.0,0.004242693719796422,7,300,2999700,300,3544,1.0,0.9219562955254943
0.02,100,0.001,1.0,0.004242693719796422,8,300,2999700,300,3857,1.0,0.9278325715660332
0.02,100,0.001,1.0,0.004242693719796422,9,300,2999700,300,4005,1.0,0.9303135888501742
0.2,10,5e-05,0.05,0.00021319005605327846,0,30,2970,30,0,1.0,0.0
0.2,10,5e-05,0.05,0.00021319005605327846,1,30,2970,30,0,1.0,0.0
0.2,10,5e-05,0.05,0.00021319005605327846,2,30,2970,30,0,1.0,0.0
