setout,regime,T,rep,family,degree,gamma,occ_alpha,eps_scale,kernel,fork_beta,eps,lam_min,lam_max,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,cos_C,notes
occ_a0.05,moderate,200,5,fitted_moment,164.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1692339461496273,43.90078523827852,0.010101010101010102,0.9911504424778761,0.0186799501867995,0.9962073324905183,0.2736455463728191,1.0,0.504424778761062,0.9898862199747156,0.12528808439916048,mu=6.46
occ_a0.05,moderate,200,5,comb_prod,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1692339461496273,43.90078523827852,0.28921124206708976,0.9911504424778761,0.2894499549143372,0.9962073324905183,0.9891703176341731,1.0,0.0037926675094816687,0.4879898862199747,0.8697977199205298,
occ_a0.05,moderate,200,5,comb_prod,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1692339461496273,43.90078523827852,0.29305680793507666,0.9911504424778761,0.2920035938903863,0.9962073324905183,0.9923673697821178,1.0,0.006321112515802781,0.5056890012642224,0.36854774532612206,
occ_a0.05,moderate,200,5,normalized_half_comb,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1692339461496273,43.90078523827852,0.9928677346870082,0.9911504424778761,0.9949788128843151,0.9962073324905183,0.9949929737051995,1.0,0.0,0.0,0.9985895254227527,
occ_a0.05,moderate,200,5,normalized_half_comb,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1692339461496273,43.90078523827852,0.9946002162668485,0.9911504424778761,0.9950118689666086,0.9962073324905183,0.9949996839243948,1.0,0.0,0.0,0.9933722430335149,
occ_a0.05,moderate,200,6,classical_invA,,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022616212611152,43.80852310306209,0.0935672514619883,0.9910485933503836,0.13251670378619154,0.9961636828644501,0.9863962145988449,1.0,0.49104859335038364,0.49104859335038364,1.0000000000000002,fixed-tau 0.386: eff 0.0000 far 0.0000
occ_a0.05,moderate,200,6,fitted_moment,80.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022616212611152,43.80852310306209,0.005134788189987163,0.9910485933503836,0.017654476670870115,0.9961636828644501,0.38953942232630756,1.0,0.979539641943734,0.9923273657289002,0.12663951843722884,mu=0.003
occ_a0.05,moderate,200,6,fitted_moment,84.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022616212611152,43.80852310306209,0.0076824583866837385,0.9910485933503836,0.016414141414141416,0.9961636828644501,0.39191290824261277,1.0,0.979539641943734,0.9923273657289002,0.1266415213044889,mu=0.003
occ_a0.05,moderate,200,6,fitted_moment,160.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022616212611152,43.80852310306209,0.011479591836734694,0.9910485933503836,0.013924050632911392,0.9961636828644501,0.3683360258481422,1.0,0.9782608695652174,0.9884910485933504,0.12621395594058438,mu=0.003
occ_a0.05,moderate,200,6,fitted_moment,164.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022616212611152,43.80852310306209,0.011479591836734694,0.9910485933503836,0.013924050632911392,0.9961636828644501,0.36628849270664504,1.0,0.9782608695652174,0.9884910485933504,0.1262058718177378,mu=0.003
occ_a0.05,moderate,200,6,comb_prod,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022616212611152,43.80852310306209,0.34654300168634067,0.9910485933503836,0.347024308466052,0.9961636828644501,0.9933967203147958,1.0,0.0,0.0,0.58636028626557,
occ_a0.05,moderate,200,6,comb_prod,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022616212611152,43.80852310306209,0.3454391891891892,0.9910485933503836,0.993370607708477,0.9961636828644501,0.9950008310638896,1.0,0.0,0.23785166240409208,0.8803900808634513,
occ_a0.05,moderate,200,6,normalized_half_comb,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022616212611152,43.80852310306209,0.9942234446158777,0.9910485933503836,0.9949640241261386,0.9961636828644501,0.9950006712653672,1.0,0.0,0.0,0.9984907139686086,
occ_a0.05,moderate,200,6,normalized_half_comb,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.022616212611152,43.80852310306209,0.9947182618651692,0.9910485933503836,0.9949780814853016,0.9961636828644501,0.9950006712653672,1.0,0.0,0.0,0.9916164580784603,
occ_a0.05,moderate,200,7,classical_invA,,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.0883713919857592,43.901668072035775,0.021144278606965175,0.9911838790931989,0.02345679012345679,0.9962216624685138,0.49873737373737376,1.0,0.0,0.0,1.0000000000000002,fixed-tau 0.386: eff 0.0000 far 0.0000
