setout,regime,T,rep,family,degree,gamma,occ_alpha,eps_scale,kernel,fork_beta,eps,lam_min,lam_max,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,cos_C,notes,eff_fixed_tau,far_fixed_tau,tau_fixed
base,moderate,400,4,normalized_half_comb,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.272835159726346,6.72716484027368,0.9975035571906526,0.9987179487179488,0.9975035571906526,0.9987179487179488,0.9975003765458408,1.0,0.0019230769230769,0.0019230769230769,0.195136381991084,,,,
base,moderate,400,4,normalized_half_comb,44.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.272835159726346,6.72716484027368,0.6608905461724063,0.9910256410256412,0.9975003765458408,1.0,0.9975003765458408,1.0,0.0019230769230769,0.0019230769230769,0.0983692488216913,,,,
occ_a0.05,moderate,400,0,classical_invA,,3.0,0.05,3.0,step,0.0,0.0031777035588293,0.9509553139359735,83.30036791011673,0.2075664621676891,0.9904153354632588,0.8229142987042509,0.9955271565495208,0.9921014887986588,0.9993610223642172,0.0012779552715654,0.0012779552715654,1.0,fixed-tau 0.386: eff 0.0000 far 0.0000,,,
occ_a0.05,moderate,400,0,fitted_moment,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,0.9509553139359735,83.30036791011673,0.2636579572446555,0.9904153354632588,0.8633573057358358,0.9955271565495208,0.9166400170557508,0.9993610223642172,0.0102236421725239,0.5009584664536741,0.0978441485553084,mu=0.3,,,
occ_a0.05,moderate,400,0,fitted_moment,80.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,0.9509553139359735,83.30036791011673,0.516078676241024,0.9904153354632588,0.793286453496086,0.9955271565495208,0.8249384374300426,0.9993610223642172,0.0,0.9533546325878596,0.0946025100531119,mu=0.03,,,
occ_a0.05,moderate,400,0,comb_prod,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,0.9509553139359735,83.30036791011673,0.6583645580780251,0.9904153354632588,0.9890831377220334,0.9955271565495208,0.9967586902953448,0.9993610223642172,0.0,0.0,0.3896663687392168,,,,
occ_a0.05,moderate,400,0,comb_prod,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,0.9509553139359735,83.30036791011673,0.99752258839964,0.9904153354632588,0.9975104185309231,0.9955271565495208,0.9975010066277652,0.9993610223642172,0.0,0.0,0.9761938209435712,,,,
occ_a0.05,moderate,400,0,normalized_half_comb,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,0.9509553139359735,83.30036791011673,0.9973001219299772,0.9904153354632588,0.9973262399176248,0.9955271565495208,0.9974274834900037,0.9993610223642172,0.0012779552715654,0.0012779552715654,0.9989908936531612,,,,
occ_a0.05,moderate,400,0,normalized_half_comb,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,0.9509553139359735,83.30036791011673,0.9975023123753172,0.9904153354632588,0.997489453448537,0.9955271565495208,0.9974965104813616,0.9993610223642172,0.0,0.0,0.997181630587453,,,,
occ_a0.05,moderate,400,1,classical_invA,,3.0,0.05,3.0,step,0.0,0.0031777035588293,1.588147859740013,83.50094820658235,0.3508992053534086,0.990427568602425,0.5663052543786489,0.9955328653477984,0.9926712841632348,0.9993618379068284,0.0019144862795149,0.0019144862795149,1.0,fixed-tau 0.386: eff 0.0000 far 0.0000,,,
occ_a0.05,moderate,400,1,fitted_moment,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,1.588147859740013,83.50094820658235,0.6284414651663873,0.990427568602425,0.874335427742871,0.9955328653477984,0.923951048951049,0.9993618379068284,0.0159540523292916,0.4920229738353542,0.1016296120351083,mu=0.3,,,
occ_a0.05,moderate,400,1,fitted_moment,80.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,1.588147859740013,83.50094820658235,0.4869421487603306,0.990427568602425,0.7842025176372942,0.9955328653477984,0.9767403864719948,0.9993618379068284,0.0044671346522016,0.9125717932354818,0.097633998503349,mu=0.646,,,
occ_a0.05,moderate,400,1,comb_prod,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,1.588147859740013,83.50094820658235,0.9950605024792968,0.990427568602425,0.9950353729676058,0.9955328653477984,0.9950187195628178,0.9993618379068284,0.0,0.0,0.7814836409713519,,,,
occ_a0.05,moderate,400,1,comb_prod,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,1.588147859740013,83.50094820658235,0.9975178960970836,0.990427568602425,0.9975100873384748,0.9955328653477984,0.9975014080506994,0.9993618379068284,0.0,0.0,0.8303632518239258,,,,
occ_a0.05,moderate,400,1,normalized_half_comb,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,1.588147859740013,83.50094820658235,0.997333434131356,0.990427568602425,0.9974487626498852,0.9955328653477984,0.9974860617696776,0.9993618379068284,0.0,0.0,0.9989859909585648,,,,
occ_a0.05,moderate,400,1,normalized_half_comb,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,1.588147859740013,83.50094820658235,0.9974802658709156,0.990427568602425,0.997496260440273,0.9955328653477984,0.9974988260773736,0.9993618379068284,0.0,0.0,0.9969585622179458,,,,
occ_a0.05,moderate,400,2,classical_invA,,3.0,0.05,3.0,step,0.0,0.0031777035588293,0.7940516839142041,83.50026178438387,0.3284356093344857,0.9904397705544932,0.5146053449347421,0.9955385595920968,0.988689235297088,0.9993626513702996,0.0,0.0,1.0,fixed-tau 0.386: eff 0.0000 far 0.0000,,,
occ_a0.05,moderate,400,2,fitted_moment,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,0.7940516839142041,83.50026178438387,0.5285194174757282,0.9904397705544932,0.7073262132284055,0.9955385595920968,0.9505097370829784,0.9993626513702996,0.0133843212237093,0.4939451880178457,0.0964937825628494,mu=0.0646,,,
occ_a0.05,moderate,400,2,fitted_moment,80.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,0.7940516839142041,83.50026178438387,0.5714285714285714,0.9904397705544932,0.9600081929438272,0.9955385595920968,0.9694305265825748,0.9993626513702996,0.4754620777565328,0.9521988527724664,0.0886535899501801,mu=0.003,,,
occ_a0.05,moderate,400,2,comb_prod,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,0.7940516839142041,83.50026178438387,0.6480181200453001,0.9904397705544932,0.9950205299533296,0.9955385595920968,0.99664537937379,0.9993626513702996,0.0006373486297004,0.0006373486297004,0.8275207675168207,,,,
occ_a0.05,moderate,400,2,comb_prod,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,0.7940516839142041,83.50026178438387,0.996713510769914,0.9904397705544932,0.9966966477954036,0.9955385595920968,0.9974196181429807,0.9993626513702996,0.0,0.0,0.8322999730973862,,,,
occ_a0.05,moderate,400,2,normalized_half_comb,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,0.7940516839142041,83.50026178438387,0.9972726937677368,0.9904397705544932,0.9974256538048244,0.9955385595920968,0.9974158375537474,0.9993626513702996,0.0006373486297004,0.0006373486297004,0.9988270079425624,,,,
occ_a0.05,moderate,400,2,normalized_half_comb,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,0.7940516839142041,83.50026178438387,0.9974998833600668,0.9904397705544932,0.9974870450900046,0.9955385595920968,0.9974952476797496,0.9993626513702996,0.0,0.0,0.9970227848654368,,,,
occ_a0.05,moderate,400,3,classical_invA,,3.0,0.05,3.0,step,0.0,0.0031777035588293,1.3004947153982864,83.60050163941347,0.1035673187571921,0.9904640813731724,0.2939585211902615,0.9955499046408136,0.98983767430134,0.9993642720915448,0.0031786395422759,0.0031786395422759,1.0,fixed-tau 0.386: eff 0.0000 far 0.0000,,,
occ_a0.05,moderate,400,3,fitted_moment,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,1.3004947153982864,83.60050163941347,0.6824943957611576,0.9904640813731724,0.9572773155094804,0.9955499046408136,0.9970618469992336,0.9993642720915448,0.4831532104259377,0.4844246662428481,0.0799176756967041,mu=0.003,,,
occ_a0.05,moderate,400,3,fitted_moment,80.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,1.3004947153982864,83.60050163941347,0.1477024070021881,0.9904640813731724,0.5629360870778677,0.9955499046408136,0.7441822620016273,0.9993642720915448,0.0133502860775588,0.9593134138588684,0.0933663226771773,mu=0.646,,,
occ_a0.05,moderate,400,3,comb_prod,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293,1.3004947153982864,83.60050163941347,0.6537008224049788,0.9904640813731724,0.7596685082872928,0.9955499046408136,0.9905244122965642,0.9993642720915448,0.0,0.0,0.8300247734604068,,,,
