comp,kind,lam,size
869,isolated_false,0.0,1
870,isolated_false,0.0,1
871,isolated_false,0.0,1
872,isolated_false,0.0,1
873,isolated_false,0.0,1
874,isolated_false,0.0,1
875,isolated_false,0.0,1
876,isolated_false,0.0,1
877,isolated_false,0.0,1
878,isolated_false,0.0,1
879,isolated_false,0.0,1
880,isolated_false,0.0,1
881,isolated_false,0.0,1
882,isolated_false,0.0,1
883,isolated_false,0.0,1
884,isolated_false,0.0,1
885,isolated_false,0.0,1
886,isolated_false,0.0,1
887,isolated_false,0.0,1
888,isolated_false,0.0,1
889,isolated_false,0.0,1
890,isolated_false,0.0,1
891,isolated_false,0.0,1
892,isolated_false,0.0,1
893,isolated_false,0.0,1
894,isolated_false,0.0,1
895,isolated_false,0.0,1
896,isolated_false,0.0,1
897,isolated_false,0.0,1
898,isolated_false,0.0,1
899,isolated_false,0.0,1
900,isolated_false,0.0,1
901,isolated_false,0.0,1
902,isolated_false,0.0,1
903,isolated_false,0.0,1
904,isolated_false,0.0,1
905,isolated_false,0.0,1
906,isolated_false,0.0,1
907,isolated_false,0.0,1
908,isolated_false,0.0,1
909,isolated_false,0.0,1
910,isolated_false,0.0,1
911,isolated_false,0.0,1
912,isolated_false,0.0,1
913,isolated_false,0.0,1
914,isolated_false,0.0,1
915,isolated_false,0.0,1
916,isolated_false,0.0,1
917,isolated_false,0.0,1
918,isolated_false,0.0,1
919,isolated_false,0.0,1
920,isolated_false,0.0,1
921,isolated_false,0.0,1
922,isolated_false,0.0,1
923,isolated_false,0.0,1
924,isolated_false,0.0,1
925,isolated_false,0.0,1
926,isolated_false,0.0,1
927,isolated_false,0.0,1
928,isolated_false,0.0,1
929,isolated_false,0.0,1
930,isolated_false,0.0,1
931,isolated_false,0.0,1
932,isolated_false,0.0,1
933,isolated_false,0.0,1
934,isolated_false,0.0,1
935,isolated_false,0.0,1
936,isolated_false,0.0,1
937,isolated_false,0.0,1
938,isolated_false,0.0,1
939,isolated_false,0.0,1
940,isolated_false,0.0,1
941,isolated_false,0.0,1
942,isolated_false,0.0,1
943,isolated_false,0.0,1
