n_trk,tau,eff,eff_s,pur,pur_s,fr,fr_s,qmax,n_reps,f1
100,0.75,0.9797499999999999,0.001700425643308482,0.953604251958501,0.00315009994587228,0.04639574804149909,0.0031500999458722793,4.066632385186812,20,0.9665003347523046
100,0.8,0.9797499999999999,0.001700425643308482,0.953604251958501,0.00315009994587228,0.04639574804149909,0.0031500999458722793,4.066632385186812,20,0.9665003347523046
100,0.85,0.9796250000000001,0.0017422289867021705,0.9535993383157718,0.0031495461461560014,0.04640066168422813,0.0031495461461560005,4.066632385186812,20,0.9664369864197325
100,0.9,0.9795,0.0017825912540308769,0.9535909796181146,0.0031527883024931357,0.04640902038188539,0.003152788302493136,4.066632385186812,20,0.9663718618359751
100,0.95,0.9795,0.0017825912540308769,0.9535909796181146,0.0031527883024931357,0.04640902038188539,0.003152788302493136,4.066632385186812,20,0.9663718618359751
100,1.0,0.9793749999999999,0.001775889325024746,0.9535840620752258,0.0031540826331148196,0.04641593792477415,0.003154082633114819,4.066632385186812,20,0.9663074703633621
100,1.2,0.74175,0.0007716182584945123,0.939707621025857,0.004020372181473865,0.060292378974142934,0.004020372181473864,4.066632385186812,20,0.8290760577964169
100,1.4,0.74175,0.0007716182584945123,0.939707621025857,0.004020372181473865,0.060292378974142934,0.004020372181473864,4.066632385186812,20,0.8290760577964169
100,1.6,0.74175,0.0007716182584945123,0.939707621025857,0.004020372181473865,0.060292378974142934,0.004020372181473864,4.066632385186812,20,0.8290760577964169
100,1.8,0.724625,0.002140423900465565,0.9998327759197325,0.0001672240802675584,0.00016722408026755852,0.00016722408026755855,4.066632385186812,20,0.8402685590424792
100,2.0,0.724125,0.002163353573554388,0.9998327759197325,0.0001672240802675584,0.00016722408026755852,0.00016722408026755855,4.066632385186812,20,0.8399322987787445
100,2.2,0.484375,0.0015051993223490366,1.0,0.0,0.0,0.0,4.066632385186812,20,0.6526315789473685
100,2.4,0.484,0.0014554796641078763,1.0,0.0,0.0,0.0,4.066632385186812,20,0.6522911051212937
100,2.6,0.481625,0.0014986287591977994,1.0,0.0,0.0,0.0,4.066632385186812,20,0.6501307685817936
100,2.8,0.244375,0.0010556084551225978,1.0,0.0,0.0,0.0,4.066632385186812,20,0.39276745354093423
100,3.0,0.244125,0.000981322281950549,1.0,0.0,0.0,0.0,4.066632385186812,20,0.3924444890987642
100,3.2,0.24,0.0009597148699373932,1.0,0.0,0.0,0.0,4.066632385186812,20,0.3870967741935484
100,3.4,0.1705,0.02418582120516938,1.0,0.0,0.0,0.0,4.066632385186812,20,0.29132849209739425
100,3.6,0.0036249999999999998,0.0008598309197314992,0.6,0.11239029738980327,0.0,0.0,4.066632385186812,20,0.0072064609650031065
100,3.8,0.003,0.000643796306459214,0.6,0.11239029738980327,0.0,0.0,4.066632385186812,20,0.005970149253731343
100,4.0,0.00275,0.0006256575488404601,0.6,0.11239029738980327,0.0,0.0,4.066632385186812,20,0.0054749066777270835
100,4.2,0.0025,0.0005735393346764044,0.6,0.11239029738980327,0.0,0.0,4.066632385186812,20,0.0049792531120331955
100,4.4,0.001125,0.00046151210282356793,0.3,0.10513149660756935,0.0,0.0,4.066632385186812,20,0.00224159402241594
100,4.6,0.00025,0.00017206180040292131,0.1,0.06882472016116853,0.0,0.0,4.066632385186812,20,0.0004987531172069825
100,4.8,0.00025,0.00017206180040292131,0.1,0.06882472016116853,0.0,0.0,4.066632385186812,20,0.0004987531172069825
100,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.066632385186812,20,0.0
200,0.1,0.9789999999999999,0.0028247418761130545,0.8442366471279039,0.003902200964659321,0.1557633528720961,0.003902200964659321,6.252071886369197,10,0.9066378507037948
