solver,phi_max,sigma_scatt,n_trk,n_rep,n_valid,excluded_frac,density,eff,eff_sem,far,far_sem,pur,pur_sem,cos_QC
qsvt,0.05,0.0003,20,3,3,0.0,7999.999999999998,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189136399
qsvt,0.05,0.0003,50,3,3,0.0,19999.999999999996,98.0,1.1547005383792517,0.0,0.0,100.0,0.0,0.9868027562163868
qsvt,0.05,0.0003,100,3,3,0.0,39999.99999999999,94.33333333333333,1.4529663145135578,0.0,0.0,100.0,0.0,0.9594582052689558
qsvt,0.05,0.0003,200,3,3,0.0,79999.99999999999,89.66666666666667,3.345809983314122,0.04380201489268334,0.04380201489268334,99.95619798510732,0.043802014892681505,0.9439901436371723
qsvt,0.05,0.0003,400,3,3,0.0,159999.99999999997,79.08333333333333,1.102396379610246,5.6608707117640575,1.055409329744033,94.33912928823595,1.0554093297440323,0.8695103613672127
qsvt,0.05,0.0003,700,3,3,0.0,279999.99999999994,70.28571428571429,1.2481278497220136,32.87399725967803,3.954365599397788,67.12600274032197,3.9543655993977898,0.8780898768321362
qsvt,0.05,0.0003,1000,3,3,0.0,399999.99999999994,73.15833333333333,7.169093581323778,84.9284303895718,2.6021899749598845,15.071569610428208,2.602189974959889,0.7303021595785625
qsvt,0.1,0.0001,10,3,3,0.0,999.9999999999998,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189006492
qsvt,0.1,0.0001,20,3,3,0.0,1999.9999999999995,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189136399
qsvt,0.1,0.0001,50,3,3,0.0,4999.999999999999,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978188631494
qsvt,0.1,0.0001,100,3,3,0.0,9999.999999999998,99.33333333333333,0.6666666666666667,0.0,0.0,100.0,0.0,0.9979916931598178
qsvt,0.1,0.0001,200,3,3,0.0,19999.999999999996,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189548885
qsvt,0.1,0.0001,400,3,3,0.0,39999.99999999999,99.5,0.2886751345948129,0.0,0.0,100.0,0.0,0.9986677478971006
qsvt,0.1,0.0001,700,3,3,0.0,69999.99999999999,98.90476190476188,0.047619047619051,0.0,0.0,100.0,0.0,0.9877860377111713
qsvt,0.1,0.0001,1000,3,3,0.0,99999.99999999999,98.46666666666665,0.03333333333333144,0.0,0.0,100.0,0.0,0.9927097811675845
qsvt,0.1,0.0003,10,3,3,0.0,999.9999999999998,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189006492
qsvt,0.1,0.0003,20,3,3,0.0,1999.9999999999995,96.66666666666667,3.3333333333333335,0.0,0.0,100.0,0.0,0.9903816768369514
qsvt,0.1,0.0003,50,3,3,0.0,4999.999999999999,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189457738
qsvt,0.1,0.0003,100,3,3,0.0,9999.999999999998,98.33333333333333,1.2018504251546631,0.0,0.0,100.0,0.0,0.993198934530254
qsvt,0.1,0.0003,200,3,3,0.0,19999.999999999996,98.0,0.7637626158259734,0.0,0.0,100.0,0.0,0.9858189539824447
qsvt,0.1,0.0003,400,3,3,0.0,39999.99999999999,94.08333333333333,0.5833333333333334,0.021915406530790004,0.021915406530790004,99.9780845934692,0.021915406530794716,0.96626716055731
qsvt,0.1,0.0003,700,3,3,0.0,69999.99999999999,90.0,0.8370664681546133,0.6300587234127567,0.15646212957701075,99.36994127658726,0.1564621295770089,0.9266999708392684
qsvt,0.1,0.0003,1000,3,3,0.0,99999.99999999999,85.89166666666667,0.8626912026392256,5.694871677577829,0.9855956408118134,94.30512832242216,0.9855956408118145,0.9053574195094695
qsvt,0.2,0.0001,10,3,3,0.0,249.99999999999994,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189006492
qsvt,0.2,0.0001,20,3,3,0.0,499.9999999999999,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189136399
qsvt,0.2,0.0001,50,3,3,0.0,1249.9999999999998,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978188631494
