sigma_res,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.05,0.0005,100,sol_97998b0e4a1e83d1,ev_6dc17d4b3e80,hm_af8fc4d5852f,1.3970646858215332,False
0.02,0.0005,10,sol_95ba85b4becdcdec,ev_6e1bc09518d5,hm_f442e5139114,0.4545454680919647,False
0.0,0.0001,700,sol_b1ffec642c42da4f,ev_6e31e965b8e3,hm_a00ad2a2c52a,0.5996047854423523,False
0.02,0.0005,10,sol_18f98286f4bb6fd2,ev_6e3545e4dd1f,hm_f442e5139114,0.4545454680919647,False
0.01,0.0003,200,sol_0f32037151915d3f,ev_6e64da1dedeb,hm_3298667cddaa,0.8121849298477173,False
0.01,0.0003,700,sol_6eed829faf6393df,ev_6e72560d5e6e,hm_3298667cddaa,1.5080784559249878,False
0.02,0.0003,400,sol_9e6b1d4f293f863b,ev_6e952a6026df,hm_1602ff939866,2.3571348190307617,False
0.0,0.0001,100,sol_4cbc7a5641586996,ev_6ea8c07e07cc,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0001,50,sol_1c702243abe4e2e2,ev_6ee21206fa87,hm_844cdcf42c7e,0.4545454680919647,False
0.05,0.0003,1000,sol_47d8b0320db86b88,ev_6ee8a22e873f,hm_8c986396d3ec,819.6425170898438,True
0.05,0.0001,10,sol_7c097f1661b2ea39,ev_6ef13e80431b,hm_9108b6e19b67,0.4545454680919647,False
0.01,0.0003,50,sol_0572bca363e04ef4,ev_6f08fd099a24,hm_3298667cddaa,0.4545454680919647,False
0.01,0.0003,10,sol_dcfa20a7d819e256,ev_6f133b152a52,hm_3298667cddaa,0.4545454680919647,False
0.05,0.0001,20,sol_d5691e1dece9d63d,ev_6f3ed760c7a7,hm_9108b6e19b67,0.4545454680919647,False
0.05,0.0005,20,sol_fdba99dfe4c811fc,ev_6fa2c306f9c6,hm_af8fc4d5852f,0.5670102834701538,False
0.0,0.0005,20,sol_c73e0ca9469224a8,ev_6fa432cc28ab,hm_7a9cff01f511,0.4545454680919647,False
0.05,0.0003,10,sol_373015ad52a5869c,ev_6fa4bd808284,hm_8c986396d3ec,0.4545454680919647,False
0.02,0.0003,50,sol_8bfc4b47c9f5ff10,ev_6fb88479230c,hm_1602ff939866,0.5669832229614258,False
0.01,0.0001,700,sol_e33089038e3d10c3,ev_70071ec1e296,hm_844cdcf42c7e,1.4999327659606934,False
0.01,0.0005,400,sol_aaa82810dfed6460,ev_701af55668cd,hm_bd4d3751a16f,1.4999589920043945,False
0.01,0.0005,700,sol_d85a67bd6d5590c1,ev_70464f8791cc,hm_bd4d3751a16f,1.391608715057373,False
