hit_ineff,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.05,0.0003,10,sol_c4ea5b6faf7554ee,ev_e8aa3def8841,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.001,400,sol_57f6254a0fd0e90c,ev_e8b1c4d1a384,hm_8de6b26636d5,2.876911163330078,False
0.01,0.0005,400,sol_9bf67bffb2f61ae7,ev_e8ddaf8c0f8a,hm_7a9cff01f511,0.5669457316398621,False
0.0,0.0005,700,sol_7a3c8acaecdeebc3,ev_e8f993265764,hm_7a9cff01f511,1.3094466924667358,False
0.02,0.0007,1000,sol_48e86bb18c7271f2,ev_e909ac0e92e3,hm_b46918a75620,1.362330436706543,False
0.1,0.001,50,sol_6a9e00de5a04c472,ev_e9117b02b531,hm_8de6b26636d5,0.6000097990036011,False
0.01,0.001,700,sol_b5bc5ed1441fa79d,ev_e92d7efe1f48,hm_8de6b26636d5,1.677675724029541,False
0.01,0.0005,20,sol_17a3a75d84d9c66a,ev_e9385e316736,hm_7a9cff01f511,0.5670102834701538,False
0.02,0.0003,50,sol_ccb6388b03022043,ev_e93a3da74714,hm_a0f8ed47a107,0.4545454680919647,False
0.02,0.0007,400,sol_fefc73febe1fa7e7,ev_e9459200907f,hm_b46918a75620,1.4352216720581055,False
0.05,0.001,50,sol_5350b367c9cc5f02,ev_e9468f8e353f,hm_8de6b26636d5,0.4545454680919647,False
0.02,0.0007,700,sol_8bc9f2d5bca9f11e,ev_e946c1bff1f0,hm_b46918a75620,1.4350600242614746,False
0.1,0.001,10,sol_e942ba2d457da681,ev_e94c5add3378,hm_8de6b26636d5,0.4545454680919647,False
0.05,0.0005,700,sol_224658558e5301d5,ev_e95e4baf8778,hm_7a9cff01f511,0.9494804739952087,False
0.0,0.0005,100,sol_aa7d1bbd0d154ab1,ev_e9690135dda9,hm_7a9cff01f511,0.5669754147529602,False
0.02,0.0001,20,sol_60d46ab4135c2493,ev_e96e90e4b784,hm_a00ad2a2c52a,0.4545454680919647,False
0.1,0.0001,1000,sol_55f40bd97344d5ea,ev_e990aabd3699,hm_a00ad2a2c52a,0.9998717308044434,False
0.05,0.0007,10,sol_88f2f1170e2a3ab3,ev_e99281ddea68,hm_b46918a75620,0.4545454680919647,False
