T,rep,n_bins,eff,ghost,n_cand,t_ms
700,4,512,0.9385714285714286,0.0120300751879699,665,146.55494689941406
700,4,1024,0.9828571428571428,0.0014513788098693,689,229.10737991333008
700,4,2048,0.9671428571428572,0.0014749262536873,678,530.5728912353516
700,5,64,0.0985714285714285,0.31,100,22.36056327819824
700,5,128,0.4314285714285714,0.1657458563535911,362,83.21928977966309
700,5,256,0.7628571428571429,0.0745233968804159,577,120.35298347473145
700,5,512,0.89,0.0400616332819722,649,165.2541160583496
700,5,1024,0.6385714285714286,0.0387096774193548,465,248.66914749145508
700,5,2048,0.1757142857142857,0.0238095238095238,126,565.3877258300781
700,6,64,0.1542857142857142,0.0091743119266055,109,24.053335189819336
700,6,128,0.5771428571428572,0.0049261083743842,406,78.97400856018066
700,6,256,0.89,0.0,623,122.63965606689452
700,6,512,0.9814285714285714,0.0,687,150.14266967773438
700,6,1024,0.9942857142857144,0.0,696,217.30399131774905
700,6,2048,0.9985714285714286,0.0,699,468.28150749206543
700,7,64,0.1514285714285714,0.0535714285714285,112,25.80404281616211
700,7,128,0.5257142857142857,0.0341207349081364,381,76.4002799987793
700,7,256,0.82,0.0188034188034188,585,115.89312553405762
700,7,512,0.9328571428571428,0.0180451127819548,665,148.3175754547119
700,7,1024,0.97,0.010204081632653,686,226.426362991333
700,7,2048,0.94,0.0045385779122541,661,514.8930549621582
700,8,64,0.1428571428571428,0.0654205607476635,107,25.211095809936523
700,8,128,0.5585714285714286,0.0175879396984924,398,81.14004135131836
700,8,256,0.8442857142857143,0.0199004975124378,603,125.57864189147948
700,8,512,0.9485714285714286,0.0059880239520958,668,160.97784042358398
700,8,1024,0.98,0.0043541364296081,689,329.78081703186035
700,8,2048,0.9728571428571428,0.0,681,525.6021022796631
700,9,64,0.1385714285714285,0.1415929203539823,113,25.90632438659668
700,9,128,0.5128571428571429,0.0297297297297297,370,75.53982734680176
700,9,256,0.7914285714285715,0.0481099656357388,582,118.12496185302734
700,9,512,0.9385714285714286,0.0135135135135135,666,158.66398811340332
700,9,1024,0.9157142857142856,0.0062015503875968,645,234.6773147583008
700,9,2048,0.8471428571428572,0.0050335570469798,596,496.7925548553467
1000,0,64,0.073,0.2772277227722772,101,24.54185485839844
1000,0,128,0.303,0.1675824175824175,364,76.14374160766602
1000,0,256,0.712,0.0812903225806451,775,154.70623970031738
1000,0,512,0.882,0.0433839479392624,922,222.102165222168
1000,0,1024,0.925,0.0170031880977683,941,359.8966598510742
1000,0,2048,0.412,0.0440835266821345,431,601.9165515899658
1000,1,64,0.112,0.0,112,26.044607162475582
1000,1,128,0.43,0.0182648401826484,438,87.06116676330566
1000,1,256,0.822,0.0024271844660194,824,162.42384910583496
1000,1,512,0.947,0.0021074815595363,949,198.9996433258057
1000,1,1024,0.98,0.0030518819938962,983,273.8265991210937
1000,1,2048,0.993,0.0010060362173038,994,526.5994071960449
1000,2,64,0.108,0.0091743119266055,109,25.60091018676757
1000,2,128,0.444,0.0155210643015521,451,91.19248390197754
1000,2,256,0.821,0.0060532687651331,826,163.4042263031006
1000,2,512,0.96,0.0041493775933609,964,205.81579208374023
1000,2,1024,0.987,0.0010121457489878,988,273.53668212890625
1000,2,2048,0.991,0.0020140986908358,993,529.9630165100098
1000,3,64,0.102,0.081081081081081,111,27.167320251464844
1000,3,128,0.434,0.0180995475113122,442,91.3398265838623
1000,3,256,0.795,0.0136476426799007,806,159.36732292175293
1000,3,512,0.932,0.0063965884861407,938,201.2417316436768
1000,3,1024,0.984,0.0020283975659229,986,276.3171195983887
1000,3,2048,0.988,0.002020202020202,990,562.7655982971191
1000,4,64,0.098,0.0101010101010101,99,23.78368377685547
1000,4,128,0.425,0.0184757505773672,433,85.92057228088379
1000,4,256,0.817,0.0060827250608272,822,160.13669967651367
