regime,phi_max,n_tracks,repeat,epsilon,n_true,n_false,true_accepted,false_accepted,seg_efficiency,seg_false_rate
dense,0.02,35,11,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,12,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,13,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,14,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,15,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,16,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,17,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,18,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,19,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,40,0,2.121324586196087e-05,120,191880,120,0,1.0,0.0
dense,0.02,40,1,2.121324586196087e-05,120,191880,120,0,1.0,0.0
dense,0.02,40,2,2.121324586196087e-05,120,191880,120,0,1.0,0.0
dense,0.02,40,3,2.121324586196087e-05,120,191880,120,0,1.0,0.0
dense,0.02,40,4,2.121324586196087e-05,120,191880,120,0,1.0,0.0
dense,0.02,40,5,2.121324586196087e-05,120,191880,120,0,1.0,0.0
dense,0.02,40,6,2.121324586196087e-05,120,191880,120,0,1.0,0.0
dense,0.02,40,7,2.121324586196087e-05,120,191880,120,0,1.0,0.0
dense,0.02,40,8,2.121324586196087e-05,120,191880,120,0,1.0,0.0
dense,0.02,40,9,2.121324586196087e-05,120,191880,120,0,1.0,0.0
dense,0.02,40,10,2.121324586196087e-05,120,191880,120,0,1.0,0.0
dense,0.02,40,11,2.121324586196087e-05,120,191880,120,0,1.0,0.0
dense,0.02,40,12,2.121324586196087e-05,120,191880,120,0,1.0,0.0
dense,0.02,40,13,2.121324586196087e-05,120,191880,120,0,1.0,0.0
dense,0.02,40,14,2.121324586196087e-05,120,191880,120,0,1.0,0.0
